timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1648623630868,3210,GetById,200,OK,Web Service UnitTest_Mock 1-1,text,true,,336,696,2,2,https://localhost:5001/api/Employee/GetEmployeeById?EmpID=1,257,0,183
1648623630868,265,GetById-0,307,Temporary Redirect,Web Service UnitTest_Mock 1-1,,true,,179,348,2,2,http://localhost:5000/api/Employee/GetEmployeeById?EmpID=1,257,0,183
1648623631140,2938,GetById-1,200,OK,Web Service UnitTest_Mock 1-1,text,true,,157,348,2,2,https://localhost:5001/api/Employee/GetEmployeeById?EmpID=1,2936,0,2911
1648623634180,207,GetEmployeeDetails,200,OK,Web Service UnitTest_Mock 1-1,text,true,,392,702,3,3,https://localhost:5001/api/Employee/GetEmployeeDetails?EmpID=1,60,0,0
1648623634180,60,GetEmployeeDetails-0,307,Temporary Redirect,Web Service UnitTest_Mock 1-1,,true,,182,351,3,3,http://localhost:5000/api/Employee/GetEmployeeDetails?EmpID=1,60,0,0
1648623634240,147,GetEmployeeDetails-1,200,OK,Web Service UnitTest_Mock 1-1,text,true,,210,351,3,3,https://localhost:5001/api/Employee/GetEmployeeDetails?EmpID=1,146,0,0
1648623634159,302,GetById,200,OK,Web Service UnitTest_Mock 1-3,text,true,,336,696,3,3,https://localhost:5001/api/Employee/GetEmployeeById?EmpID=1,32,0,7
1648623634159,32,GetById-0,307,Temporary Redirect,Web Service UnitTest_Mock 1-3,,true,,179,348,3,3,http://localhost:5000/api/Employee/GetEmployeeById?EmpID=1,32,0,7
1648623634196,265,GetById-1,200,OK,Web Service UnitTest_Mock 1-3,text,true,,157,348,3,3,https://localhost:5001/api/Employee/GetEmployeeById?EmpID=1,265,0,254
1648623634391,81,GetById,200,OK,Web Service UnitTest_Mock 1-1,text,true,,336,696,3,3,https://localhost:5001/api/Employee/GetEmployeeById?EmpID=1,60,0,0
1648623634391,60,GetById-0,307,Temporary Redirect,Web Service UnitTest_Mock 1-1,,true,,179,348,3,3,http://localhost:5000/api/Employee/GetEmployeeById?EmpID=1,60,0,0
1648623634452,20,GetById-1,200,OK,Web Service UnitTest_Mock 1-1,text,true,,157,348,3,3,https://localhost:5001/api/Employee/GetEmployeeById?EmpID=1,17,0,0
1648623632158,2330,GetById,200,OK,Web Service UnitTest_Mock 1-2,text,true,,336,696,3,3,https://localhost:5001/api/Employee/GetEmployeeById?EmpID=1,95,0,49
1648623632158,95,GetById-0,307,Temporary Redirect,Web Service UnitTest_Mock 1-2,,true,,179,348,3,3,http://localhost:5000/api/Employee/GetEmployeeById?EmpID=1,95,0,49
1648623632258,2230,GetById-1,200,OK,Web Service UnitTest_Mock 1-2,text,true,,157,348,3,3,https://localhost:5001/api/Employee/GetEmployeeById?EmpID=1,2229,0,1796
1648623634465,36,GetEmployeeDetails,200,OK,Web Service UnitTest_Mock 1-3,text,true,,392,702,3,3,https://localhost:5001/api/Employee/GetEmployeeDetails?EmpID=1,5,0,0
1648623634465,5,GetEmployeeDetails-0,307,Temporary Redirect,Web Service UnitTest_Mock 1-3,,true,,182,351,3,3,http://localhost:5000/api/Employee/GetEmployeeDetails?EmpID=1,5,0,0
